id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
23,https://www.choumicha.ma/recette/1538-tajine-de-poulet-aux-carottes-et-aux-pois-chiches.html,Tajine de poulet aux carottes et aux pois chiches,Saveurs du maroc,Tajines,1h 15m,2h 30m,4,"1 poulet de 1,3 kg | 1 oignon émincé | 2 gousses d’ail émincées | 5 cl d’huile d'olive | 2 cm de gingembre frais râpé | 1 c. à thé de curcuma | 1 c. à thé de poivre blanc et noir mélangés | 80 g de pois chiches trempés dans de l'eau pendant toute une nuit | 1 petit bouquet de coriandre | 75 cl d’eau ou de bouillon de poulet | 600 g de carottes | 1 filet de jus de citron | Feuilles de coriandre émincées","Préparation | Gratter les carottes et les détailler en tronçons. Egoutter les pois chiches et les débarrasser de leur peau. Détailler le poulet en 8 morceaux et les déposer dans une marmite sur feu doux. | Ajouter l’huile, l’oignon et l'ail émincés. Faire revenir tous ces ingrédients jusqu’à ce que l’oignon devienne translucide. Ajouter les épices, le bouquet de coriandre, les pois chiches et mouiller avec le bouillon ou l’eau. | Couvrir la marmite et laisser mijoter. Lorsque les pois chiches deviennent tendres, ajouter les carottes et continuer la cuisson pendant 15 à 20mn environ. | Une fois les éléments cuits et la sauce réduite, ajouter le jus de citron et les feuilles de coriandre émincées puis retirer du feu. | Servir le poulet garni de carottes, de pois chiches et nappé de sauce.",False,1|2|4|5|6,219.0
24,https://www.choumicha.ma/recette/1536-sardines-facon-conserve.html,Sardines façon conserve,Saveurs du maroc,Plats principaux,30m,1h 15m,4,600 g de sardines nettoyées | 12 cl d’huile d’olive | 8 cl de vinaigre | 2 feuilles de laurier | 4 clous de girofle | 1/2 c. à thé de sel | 1/2 poivron rouge coupé en lanières | ½ concombre coupé en rondelles | ½ carotte coupée en rondelle | 1 piment | 2 gousses d’ail en chemise | 4 c. à soupe d’eau,"Préparation | Déposer les légumes dans un autocuiseur, disposer dessus les sardines puis ajouter le reste des ingrédients. Fermer l’autocuiseur et laisser cuire à feu doux 15 à 20 mn. Retirer le couvercle et laisser évaporer le liquide. | Lorsque le vinaigre et l’eau sont évaporés, retirer du feu. | Dresser les légumes et les sardines dans un plat de service et les napper de jus de cuisson. | Servir les sardines tièdes ou froides accompagnées de salade de légumes. | Bon à savoir : | Une fois cuites, les sardines peuvent être placées dans un bocal rempli d’huile d’olive et ensuite servies en salade. Elles se conserveront ainsi au frais durant 3 à 4 jours.",False,1|2|3|4|5|6,2551.73
25,https://www.choumicha.ma/recette/1534-tajine-dagneau-aux-coings-et-aux-abricots-confis.html,Tajine d'agneau aux coings et aux abricots confis,Saveurs du maroc,Tajines,1h 30m,3h,4,750 g de viande d’agneau coupée dans le gigot ou dans l’épaule | 1 oignon émincé | 2 gousses d’ail émincées | 1 tomate pelée et épépinée | 1 petit bouquet de persil et de coriandre | 2 bâtonnets de cannelle | 1 c. à thé bombée de gingembre | ½ c. à café de poivre | 1 c. à thé de curcuma | 8 pistils de safran | 4 c. à soupe d’huile | 75 cl d’eau | Pour la garniture : | 4 coings | Un citron | Le jus d’une orange | 12 d’abricots secs | 4 c. à soupe de sucre semoule | ½ c. à thé de cannelle en poudre | Pour servir : | 2 c. à soupe d’amandes effilées grillées,"Préparation | Dans une marmite, déposer la viande, l’oignon, la tomate coupée en morceaux, l’ail, les épices, l’huile et le bouquet d’herbes. | Mouiller avec l’eau et à ébullition, baisser le feu et laisser mijoter à couvert jusqu’à cuisson de la viande et réduction de la sauce. | Pendant ce temps, couper | les coings | en quartiers, les épépiner et les citronner. | Disposer les coings dans une marmite et les couvrir à hauteur d’eau. Couvrir et laisser cuire | les coings | pendant 15 à 20 mn environ. | Ajouter le jus d’orange, les abricots, la cannelle et le sucre semoule. | Baisser le feu et laisser confire les fruits jusqu’à ce que le jus de cuisson prenne une consistance sirupeuse. | Disposer la viande dans un tajine préchauffé et la napper de sauce. Garnir le plat de fruits confits et les parsemer d’amandes effilées. | Servir le plat chaud.",False,1|2|3|4|5|6,86.47
26,https://www.choumicha.ma/recette/1530-tajine-de-legumes-aux-crevettes-et-aux-moules.html,Tajine de légumes aux crevettes et aux moules,Saveurs du maroc,Tajines,40m,1h 10m,4,2 oignons coupés en fines rondelles | 300 g de petites pommes de terre pelées | 300 g de carottes coupées en tronçons | 200 g de petits pois écossés | 1 feuille de laurier | 3 brins de thym | 8 cl d’huile d’olive | 10 cl d’eau | 400 g de grosses crevettes décortiquées | 16 grosses moules décoquillées | Feuilles de coriandre | Sel et poivre,"Préparation | Dans un tajine, disposer les rondelles d’oignon, ajouter 2 c.  à soupe d’huile d’olive et saupoudrer de sel. | Couvrir et laisser ramollir l’oignon à feu doux pendant 5 à 10 mn. Disposer les légumes sur l’oignon et ajouter les herbes et l’eau. | Saler et poivrer. Couvrir le tajine et laisser mijoter jusqu’à cuisson des pommes de terre. | Ajouter les crevettes, les moules et les feuilles de coriandre et continuer la cuisson à couvert pendant 10 mn. | Retirer le tajine du feu, le napper avec les 2 c. à soupe d’huile d’olive restante et le servir bien chaud. | Bon à savoir : | si vous n’avez pas de tajine, vous pouvez cuire le plat dans une marmite ou une poêle large.",False,1|2|5|6,145.16
27,https://www.choumicha.ma/recette/1532-tajine-de-dinde-aux-carottes-riz-et-olives-violettes.html,"Tajine de dinde aux carottes, riz et olives violettes",Saveurs du maroc,Tajines,40m,1h 10m,4,600 g de blanc de dinde (ou de poulet) coupé en gros cubes | 1 oignon émincé | 1 gousse d’ail émincée | 1 petit bouquet de coriandre | 8 pistils de safran | 2 c. à thé de gingembre | 1 c. à thé de curcuma | ½ c. à thé de poivre | Sel | 4 c. à soupe d’huile d’olive | 70 cl de bouillon de poulet (Cliquez sur le lien dans la préparation) | 1 filet de jus de citron | Pour la garniture : | 500 g de carottes grattées et coupées en tronçons | ¼ de citron confit coupé en morceaux | 150 g de riz long | 100 g d’olives violettes dénoyautées | 1 c. à soupe de coriandre émincée,"Préparation | Dans une marmite sur feu doux, faire revenir l’oignon, l’ail et les morceaux de dinde dans l’huile pendant 2 mn. | Ajouter les épices, le bouquet de coriandre et mouiller avec 40 cl de | bouillon | . | A ébullition, baisser le feu et laisser mijoter jusqu’à cuisson des morceaux de dinde. Les retirer et les réserver au chaud. | Placer le riz dans un sac en mousseline. | Verser | le bouillon | restant chaud dans la marmite, et à ébullition ajouter les carottes, le riz et le citron confit. | Couvrir et laisser mijoter à feu doux pendant 25 mn environ, le riz et les carottes doivent être cuits et la sauce réduite. | 5 mn avant de retirer la marmite du feu, ajouter les olives, la coriandre émincée et un filet de jus de citron. | Réchauffer les morceaux de dinde, les dresser dans un  plat, les garnir de riz, de carottes et d’olives. Napper le tout de sauce et servir le plat chaud.",False,1|2|4|6,258.9
28,https://www.choumicha.ma/recette/1528-tajine-dagneau-aux-haricots-verts.html,Tajine d'agneau aux haricots verts,Saveurs du maroc,Tajines,1h 30m,2h,4,750 g de viande d’agneau coupée dans l’épaule | 1 tomate épépinée et râpée | 1 oignon moyen émincé | 1 gousse d’ail émincée | ½ c. à thé de poivre | 1 c. à thé de curcuma | 1 c. à thé de gingembre | 4 c. à soupe d’huile d’olive | 1 petit bouquet de coriandre | 70 cl d’eau | Sel | Pour la garniture : | 600 g de haricots verts | 80 g de tomates cerise | 1 gousse d’ail émincée | 1 c. à soupe de coriandre émincée,"Préparation | Dans une marmite sur feu doux, faire revenir la viande,  l’oignon, l’ail et la tomate râpée dans l’huile pendant 2 mn. | Ajouter les épices, le bouquet de coriandre et mouiller avec l’eau. | Porter à ébullition, puis baisser le feu et laisser cuire à couvert. | Lorsque la viande est cuite, la retirer de la marmite  et la réserver au chaud. Passer la sauce au chinois et la remettre dans la marmite. | Déposer les haricots dans la sauce, ajouter les tomates cerise, la coriandre et l’ail. | Couvrir la marmite et laisser mijoter jusqu’à cuisson des haricots et réduction de la sauce. | Réchauffer la viande et la dresser dans  un plat de service, la garnir de légumes et la napper de sauce. | Servir le plat chaud.",False,1|2|3|4|5|6,109.86
29,https://www.choumicha.ma/recette/1520-mhancha-au-poulet-et-aux-crevettes.html,Mhancha au poulet et aux crevettes,Saveurs du maroc,Poissons et crustacés,25m,1h 10m,4,Pour la farce : | 300 g de blanc de poulet haché | 250 g de crevettes décortiquées coupées en petits morceaux | 2 cm de gingembre frais râpé | 1 gousse d’ail émincée | 1 poireau émincé | 2 c. à soupe de sauce soja | 2 c. à soupe de sauce de poisson “Nuoc-mâm” | 3 c. à soupe d’huile d’arachide | Feuilles de coriandre émincées | Poivre noir | Pour le pliage : | 4 grandes feuilles de pastilla (Cliquez sur lien dans la préparation) | 20 g de beurre fondu | 1 œuf battu | Pour le décor : | 1 c. à café de paprika,"Préparation | Dans une poêle sur feu vif, faire revenir le gingembre râpé avec l’ail émincé dans l’huile pendant 20 secondes. | Ajouter le poireau et le hachis de poulet et laisser cuire environ 5 mn. Ajouter les deux sauces, les crevettes et le poivre. | Continuer la cuisson pendant 1mn. Retirer la poêle du feu et incorporer la coriandre émincée. | Sur le plan de travail, déposer deux demi- | feuilles de pastilla | en longueur pour obtenir un long ruban de | feuille de pastilla | . | Déposer tout au long du bord de la feuille de pastilla 2 cm de farce. | Rouler la feuille de pastilla autour de la farce pour obtenir un long boudin. | Enrouler le boudin de Mhancha sur lui-même pour lui donner une forme d'escargot. | Coller l’extrémité du boudin farci à l’œuf battu. | Répéter l’opération pour obtenir 4 Mhancha. | Déposer les Mhancha sur une plaque tapissée de papier sulfurisé, les badigeonner de beurre et les faire dorer au four préchauffé à 190°C pendant environ 20 à 25mn. | Servir les Mhancha chaudes saupoudrées de paprika.",False,1|2|3|6,479.54
30,https://www.choumicha.ma/recette/1521-mhancha-aux-fruits-de-mer.html,Mhancha aux fruits de mer,Saveurs du maroc,Poissons et crustacés,20m,50m,4,Pour la farce : | 250 g de calmars coupés en fines lanières | 250 g de crevettes décortiquées et émincées | 250 g de filet de poisson blanc coupé en petits morceaux | 1 gousse d’ail émincée | 80 g de beurre | 1 c. à soupe de coriandre émincée | 1 c. à soupe de jus de citron | ½ c. à café de sel | 1 c. à café de paprika doux ou piquant | Pour le pliage : | 4 grandes feuilles de pastilla (Cliquez sur le lien dans la préparation) | 100 g de beurre fondu | 1 oeuf battu | Pour le décor : | Crevettes sautées | Tranches de citron,"Préparation | Faire sauter les morceaux de poisson, les lanière de calmars et les crevettes séparément dans le beurre pendant 1 mn environ sur feu vif. | Dans un bol, mélanger les morceaux de poisson avec les calmars et les crevettes. | Ajouter le paprika, le sel, le jus de citron, l’ail et la coriandre émincés. | Goûter la préparation et rectifier l’assaisonnement si besoin. | Sur le plan de travail, déposer deux demi- | feuilles de pastilla | en longueur pour obtenir un long ruban de feuille de pastilla. | Déposer tout au long du bord de la | feuille de pastilla | 2 cm de farce. Rouler la feuille de pastilla autour de la farce pour obtenir un long boudin. | Enrouler le boudin de m'hancha sur lui-même pour lui donner une forme d'escargot. | Coller l’extrémité du boudin farci à l’oeuf battu. | Répéter l’opération pour obtenir 4 M'hancha. | Déposer les M'hancha sur une plaque tapissée de papier sulfurisé, les badigeonner de beurre et les faire dorer au four préchauffé à 190°C pendant environ 20 à 25 mn. | Servir les M'hancha chaudes décorées de crevettes sautées et de tranches de citron.",False,1|2|3|6,566.86
31,https://www.choumicha.ma/recette/1524-mhancha-aux-amandes.html,Mhancha aux amandes,Saveurs du maroc,Plats principaux,15m,1h,4,Pour la farce : | 500 g d’amandes mondées | 250 g de sucre semoule | ¼ de c. à café de mastic (Gomme arabique) | 2 c. à soupe d’eau de fleurs d’oranger | 40 g de beurre | Pour le pliage : | 4 grandes feuilles de pastilla (Cliquez sur le lien dans la préparation) | 100 g de beurre fondu | 1 oeuf battu | Pour le décor : | 250 g de miel de fleurs d’oranger | Amandes effilées et grillées,"Préparation | Frire 250 g d’amandes dans de l’huile chaude, les égoutter et les éponger sur du papier absorbant. | Moudre finement les amandes frites avec la moitié du sucre | Moudre les amandes mondées avec le sucre restant pour obtenir une pâte d’amande lisse et homogène. | Mélanger les deux pâtes d’amandes en leur incorporant le mastic, le beurre et l’eau de fleurs d’oranger jusqu’à obtenir une préparation homogène. | Laisser reposer la pâte pendant 1 heure. En confectionner des boudins de 2 cm d’épaisseur. Sur le plan de travail, déposer deux demi- | feuilles de pastilla | en longueur pour obtenir un long ruban de | feuille de pastilla | . | Déposer tout au long du bord de | la feuille de pastilla | les boudins de pâte d’amandes. Rouler la feuille de pastilla autour de la farce pour obtenir un long boudin. | Enrouler le boudin de Mhancha sur lui-même pour lui donner une forme d'escargot. | Coller l’extrémité du boudin farci avec l’oeuf battu. Répéter l’opération pour obtenir 4 Mhancha. Déposer les Mhancha sur une plaque tapissée de papier sulfurisé, les badigeonner de beurre et les faire dorer au four préchauffé à 190°C pendant environ 20 à 25 mn ou jusqu’à ce qu’elles prennent une belle couleur dorée. | Arroser généreusement les Mhancha encore chaudes de miel tiède et les saupoudrer d’amandes effilées.",False,1|2|3|5|6,934.36
32,https://www.choumicha.ma/recette/1525-mhancha-aux-legumes-et-au-thon.html,Mhancha aux légumes et au thon,Saveurs du maroc,Plats principaux,20m,50m,4,Pour la farce : | 200 g de carottes | 200 g de courgettes | 100 g de chou vert | 2 poireaux | 200 g de thon égoutté | 2 c. à soupe de persil et de coriandre émincés | 1 c. à thé de pâte de piment “Harissa” | 40 g de beurre | Sel | Poivre | Pour le pliage : | 4 grandes feuilles de pastilla (Cliquez sur le lien dans la préparation) | 100 g de beurre fondu | 1 oeuf battu | Pour le décor : | 1 c. à café de paprika,"Préparation | Couper les légumes en julienne et les faire revenir séparément, pendant 3 mn, dans le beurre. Saler et poivrer. | Dans un bol, mélanger les légumes avec le thon émietté, les herbes émincées et la pâte de piment. Goutter et rectifier l’assaisonnement. | Sur le plan de travail, déposer deux demi- | feuilles de pastilla | en longueur pour obtenir un long ruban de | feuille de pastilla | . | Déposer tout au long du bord de la feuille de pastilla 2 cm de farce. Rouler la feuille de pastilla autour de la farce pour obtenir un long boudin. | Enrouler le boudin de Mhancha sur lui-même pour lui donner une forme d'escargot. | Coller l’extrémité du boudin farci avec l’oeuf battu. | Répéter l’opération pour obtenir 4 Mhancha. | Déposer les Mhancha sur une plaque tapissée de papier sulfurisé, les badigeonner de beurre et les faire dorer au four préchauffé à 190°C pendant environ 20 à 25 mn. | Servir les Mhancha chaudes, saupoudrées de paprika.",False,1|2|3|4|6,101.73
